ID,Taxable Year,Year Time Date,County,Population,All Returns,AGI,Median Income,Median Rank,Joint Returns,Joint Returns Median Income,Joint Returns Median Rank,Tax Assessed,Location
172,2013,01/01/2013 12:00:00 AM,Solano,422899,172601,10306527000,41275,10,68811,77560,13,350299000,"(38.1768183878, -122.0352985903)"
173,2013,01/01/2013 12:00:00 AM,Sonoma,491619,218377,14312831000,39821,12,86329,76576,15,642534000,"(38.4936719935, -122.930263223)"
174,2013,01/01/2013 12:00:00 AM,Stanislaus,526549,187815,9479988000,32627,33,79991,57539,37,312013000,"(37.5014878279, -121.2164802843)"
175,2013,01/01/2013 12:00:00 AM,Sutter,96712,34109,1667291000,31811,35,15981,52320,44,50009000,"(39.0113111064, -121.7233340863)"
176,2013,01/01/2013 12:00:00 AM,Tehama,64114,18605,800085000,29046,53,8444,47123,54,24212000,"(40.2550643726, -122.2937714515)"
177,2013,01/01/2013 12:00:00 AM,Trinity,13459,4118,180228000,29192,52,1912,47088,55,5484000,"(40.8409290688, -122.9728439648)"
178,2013,01/01/2013 12:00:00 AM,Tulare,455376,150683,6059652000,26428,57,59268,46395,57,176184000,"(36.2825431172, -118.2652098261)"
179,2013,01/01/2013 12:00:00 AM,Tuolumne,54118,20994,1054491000,34191,29,9548,57991,36,32719000,"(37.9638595691, -119.8920735429)"
181,2013,01/01/2013 12:00:00 AM,Ventura,839270,356381,25191289000,38025,16,146105,79150,10,1141730000,"(34.277090722, -119.217849578)"
182,2013,01/01/2013 12:00:00 AM,Yolo,206136,77711,5050997000,39237,13,32084,78752,11,202744000,"(38.6838268809, -121.9127421016)"
183,2013,01/01/2013 12:00:00 AM,Yuba,72994,22531,986743000,31545,38,10226,51266,46,22599000,"(39.2712947622, -121.3793556629)"
